category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Halı saha ayakkabısı,Ayakkabı,Spor ayakkabı,https://www.flo.com.tr/kinetix-zonzi-tf-siyah-erkek-hali-saha-ayakkabisi-100504217,100504217,https://floimages.mncdn.com/media/catalog/product/20-01/15/100504217_1.jpg,Kinetix,99.99,ZONZI TF Siyah Erkek Halı Saha Ayakkabısı,İç Materyal: Tekstil,Erkek
Ayakkabı,Spor ayakkabı,Halı saha ayakkabısı,https://www.flo.com.tr/fb-sergi-turf-fb-lacivert-erkek-hali-saha-ayakkabisi-100395169,100395169,https://floimages.mncdn.com/media/catalog/product/20-01/02/100395169_1.jpg,FB,109.99,SERGI TURF  Lacivert Erkek Halı Saha Ayakkabısı,İç Materyal: Tekstil,Erkek
Ayakkabı,Bot,Düz bot,https://www.flo.com.tr/vicco-943b19k472-luna-kurklu-kiz-cocuk-bot-ayakkabi-fusya-200053146,200053146,https://floimages.mncdn.com/media/catalog/product/20-12/01/94319k472_v7-1.JPG,VICCO,146.79,943.B19K.472 Luna Kürklü Kız Çocuk Bot Ayakkabı FUŞYA,"Mevsim: Sonbahar-kış
Dış Materyal: Mikrofiber
İç Materyal: Tekstil
Taban Materyali: Poliüretan
Topuk Yüksekliği: 2 Cm
Taban Yüksekligi: 1 Cm
Agırlık: 150 Gr
Kalıp: Standart Ayak Ölçülerine Göre Tam Kalıp",Kız Çocuk
Ayakkabı,Spor ayakkabı,Halı saha ayakkabısı,https://www.flo.com.tr/fb-sergi-turf-fb-beyaz-erkek-hali-saha-ayakkabisi-100395168,100395168,https://floimages.mncdn.com/media/catalog/product/1/0/100395168_1.jpg,FB,92.84,SERGI TURF  Beyaz Erkek Halı Saha Ayakkabısı,,Erkek
Ayakkabı,Spor ayakkabı,Halı saha ayakkabısı,https://www.flo.com.tr/kinetix-zonzi-ag-siyah-erkek-krampon-100510811,100510811,https://floimages.mncdn.com/media/catalog/product/20-01/20/100510811_1.JPG,Kinetix,99.99,ZONZI AG Siyah Erkek Krampon,İç Materyal: Tekstil,Erkek
Giyim,Şort,M-1676 ledger sort lacivert erkek şort,https://www.flo.com.tr/lumberjack-m-1676-ledger-sort-lacivert-erkek-sort-100513025,100513025,https://floimages.mncdn.com/media/catalog/product/20-07/23/100513025_1.JPG,Lumberjack,85.7,M-1676 LEDGER SORT Lacivert Erkek Şort,,Erkek
Giyim,Şort,M-1643 archer sort siyah erkek şort,https://www.flo.com.tr/kinetix-m-1643-archer-sort-siyah-erkek-sort-100512979,100512979,https://floimages.mncdn.com/media/catalog/product/20-02/18/100512979_1.JPG,Kinetix,49.99,M-1643 ARCHER SORT Siyah Erkek Şort,,Erkek
Giyim,Şort,Günlük şort,https://www.flo.com.tr/adidas-d2m-cool-sho-wv1-siyah-erkek-sort-100403548,100403548,https://floimages.mncdn.com/media/catalog/product/20-09/16/100403548_1.JPG,adidas,229,D2M COOL SHO WV.1 Siyah Erkek Şort,,D2M COOL SHO WV.1
Ayakkabı,Bot,Klasik bot,https://www.flo.com.tr/ayakland-02-gomes-termo-taban-ici-kurklu-fermuarli-erkek-bot-ayakkabi-kahverengi-200053139,200053139,https://floimages.mncdn.com/media/catalog/product/20-12/02/20kbootayk00099_ka-1.JPG?0.629012087792367,Ayakland,101.59,02 Gomes Termo Taban İçi Kürklü Fermuarlı Erkek Bot Ayakkabı Kahverengi,"Marka: Ayakland
Sezon : Sonbahar - Kış
Dış Materyal:Suni Deri
İç Materyal:Suni Deri

Taban Materyali: Kauçuk    
Topuk Yüksekliği: 1 Cm
Taban Yüksekligi: 2 Cm
Agırlık: 384 Gr
Kalıp: Standart Ayak Ölçülerine Göre Tam Kalıp",Erkek
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/hakiki-deri-kadin-casual-ayakkabi-864za101-200047735,200047735,https://floimages.mncdn.com/media/catalog/product/20-11/10/new-project-2020-11-10t222526340.jpg,Fast Step,469.11,Hakiki Deri Kadın Casual Ayakkabı 864ZA101,Taban : POLİ TABAN; Yüzeyi: DERİ; İçi: DERİ ASTAR; Topuk Boyu: 2.5;,Kadın
