category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Giyim,Sweatshirt,Baskılı sweatshirt,https://www.flo.com.tr/gri-erkek-cocuk-kapsonlu-kislik-sweat-200047858,200047858,https://floimages.mncdn.com/media/catalog/product/20-11/12/0019514_gri-erkek-cocuk-kapsonlu-kislik-sweat.jpeg?0.6474590492535628,E.R.D Kids,94.9,Gri Erkek Çocuk Kapşonlu Kışlık Sweat,"​​​​​​​​​​​​​​​​​​​​​​​​​​​Ürün Açıklaması:
.Kapşonlu
.Cepli
.Fermuar Detaylı
.İç Kısım Polar
.Çocuk Kışlık Çeket
.Türkiye'de Üretilmiştir
Paket İçeriği:
.Ceket
Ürün İçeriği:Ana Kumaş: %100 Pamuk
Renk: GriÜrün Tipi: Üst Grup
Ürün Kodu: 019-012-011",Erkek Çocuk
Çanta,Okul çantası,Erkek çocuk spider-man  salto sta tekerlekli ilkokul çantası 5254,https://www.flo.com.tr/erkek-cocuk-spider-man-spiderman-salto-sta-tekerlekli-ilkokul-cantasi-5254-200024145,200024145,https://floimages.mncdn.com/media/catalog/product/20-09/01/spider-man-spiderman-salto-sta-tekerlekli-ilkokul-cantasi-5254_15959635065842_xml3.jpg?0.6927601426693568,Spiderman,273.67,Erkek Çocuk Spider-Man  Salto Sta Tekerlekli İlkokul Çantası 5254,,Erkek Çocuk
Ayakkabı,Spor ayakkabı,Yürüyüş ayakkabısı,https://www.flo.com.tr/jump-25703-gunluk-erkek-spor-ayakkabi-lacivert-200053179,200053179,https://floimages.mncdn.com/media/catalog/product/20-12/01/ja125703121_jb8-1.JPG?0.26503275150248107,Jump,237.19,25703 Günlük Erkek Spor Ayakkabı LACİVERT,"Marka: Jump
Mevsim: Sonbahar

Dış Materyal: Mikrofiber

İç Materyal: Mikrofiber

Taban Materyali: Poliüretan 

Topuk Yüksekliği: 2 Cm

Taban Yüksekligi: 1 Cm  
Agırlık: 310 Gr
Kalıp: Standart Ayak Ölçülerine Göre Tam Kalıp",Erkek
Çanta,Makyaj çantası,Siyah kadın makyaj çantası alice mc212111010,https://www.flo.com.tr/siyah-kadin-makyaj-cantasi-alice-mc212111010-200062412,200062412,https://floimages.mncdn.com/media/catalog/product/20-12/29/siyah-kadin-makyaj-cantasi-alice-mc212111010-1776.jpg?0.1809320943437398,Marie Claire,127,Siyah Kadın Makyaj Çantası Alice MC212111010,"Tasarım Güzelliğine zarafet katmaya var mısın? Relax koleksiyonumuzun çarpıcı parçası Alice kadın makyaj çantamız, pratik kullanımı ve şıklığıyla yanınızdan ayıramayacağınız parçalardan biri olacak! 
Detaylar Marie Claire Relax KoleksiyonuMakyaj ÇantasıSuni DeriMarie Claire imza logoGenişlik: 36 cm Yükseklik: 27 cm Derinlik: 18 cm%100 orijinaldir
Tüm Marie Claire koleksiyonu Paris'te tasarlanmıştır.",Kadın
Çanta,Omuz çantası,Kadın çanta,https://www.flo.com.tr/kadin-canta-200051556,200051556,https://floimages.mncdn.com/media/catalog/product/20-11/19/new-project-2020-11-19t121556416.jpg,Hayati Arman,139.6,Kadın Çanta,Kadın Çanta,Kadın
Çanta,Omuz çantası,Hakiki deri silindir mini çanta,https://www.flo.com.tr/bagmori-hakiki-deri-silindir-mini-canta-20002828,20002828,https://floimages.mncdn.com/media/catalog/product/20-09/15/87001900049136-1.jpg?0.1178433762605311,Bagmori,179.9,Hakiki Deri Silindir Mini Çanta,,Kadın
Çanta,Sırt çantası,Kadın  tash kadın sırt çantası hwsr7759330,https://www.flo.com.tr/kadin-guess-tash-kadin-sirt-cantasi-hwsr7759330-200045615,200045615,https://floimages.mncdn.com/media/catalog/product/20-11/05/guesstashkadinsirtcantasihwsr7759330_1601370579691_xml3.jpg?0.42928827730979746,Guess,1399,Kadın  Tash Kadın Sırt Çantası HWSR7759330,,Kadın
Çanta,Omuz çantası,Kadın çanta,https://www.flo.com.tr/kadin-canta-200051555,200051555,https://floimages.mncdn.com/media/catalog/product/20-11/19/vie-g16124-52289-2685.jpg?0.3943025104897593,Hayati Arman,103.95,Kadın Çanta,Kadın Çanta,Kadın
Abiye ayakkabı,Kadın abiye ayakkabı,,https://www.flo.com.tr/kadin-abiye-ayakkabi-200034869,200034869,https://floimages.mncdn.com/media/catalog/product/20-10/02/viv-k202_2661-72819-5404.jpg?0.0054130668167233775,Hayati Arman,299.6,Kadın Abiye Ayakkabı,,Kadın
Giyim,Sweatshirt,Baskılı sweatshirt,https://www.flo.com.tr/turkuaz-erkek-cocuk-kapsonlu-kislik-sweat-200047856,200047856,https://floimages.mncdn.com/media/catalog/product/20-11/12/0019546_turkuaz-erkek-cocuk-kapsonlu-kislik-sweat.jpeg?0.4403401664168607,E.R.D Kids,89.9,Turkuaz Erkek Çocuk Kapşonlu Kışlık Sweat,"​​​​​​​​​​​​​​​​​​​​​​​​​​​​Ürün Açıklaması:
.Kapşonlu
.Cepli
.Fermuar Detaylı
.İç Kısım Polar
.Çocuk Kışlık Çeket
.Türkiye'de Üretilmiştir
Paket İçeriği:
.Ceket
Ürün İçeriği:Ana Kumaş: %100 Pamuk
Renk: TurkuazÜrün Tipi: Üst Grup
Ürün Kodu: 019-012-037",Erkek Çocuk
Çanta,Omuz çantası,Gri kadın  bebek bakım çantası janet mc212109078,https://www.flo.com.tr/gri-kadin-bebek-bakim-cantasi-janet-mc212109078-200062407,200062407,https://floimages.mncdn.com/media/catalog/product/20-12/29/new-project-2020-12-29t121446959.jpg,Marie Claire,367,Gri Kadın  Bebek Bakım Çantası Janet MC212109078,"Tasarım 
Nursery koleksiyonumuzun fonksiyonel parçası Janet bebek bakım çantamız, rahat ve fonksiyonel  kullanımı ile annelerin en büyük yardımcılarından biri olacak. Çok fonksiyonlu düzenleyici çanta Janet ile bebeğinizin biberon, bez, mama, oyuncak ve küçük yedek kıyafetlerinin yanısıra cep telefonu, anahtar gibi kişisel eşyalarınızı da rahatlıkla yanınızda taşıyabilirsiniz. Keyifli bir gezide yanınıza almak isteyebileceğiniz her şeyi rahatlıkla koyabileceğiniz bu özel tasarım bakım çantasını biberondan bebek bezine kadar tüm ihtiyaçlarınızı taşımak için kullanabilirsiniz.
Detaylar 
Marie Claire Nursery Koleksiyonu
Bebek Bakım/Düzenleyici Çantası
PVC, Bizfenol A, Ftalat ve kurşun gibi sağlık açısından zararlı hiçbir kimyasal madde içermez.
İthal Suya Dayanıklı Kumaş
Uzunluk: 38 cm Genişlik: 24 cm Derinlik: 15 cm
Temizlik Önerisi: Elde sabun veya sabun tozu ile yıkanabilir. Kuru temizleme yapılabilir. Ütü yapılmaz, çamaşır makinesinde yıkanmamalıdır.
Kullanım Önerisi: Bebek arabalarının hem tutma koluna hem de ön barına takılabilir. Omuzdan ayarlı askı kayışı ile bebek arabasına takılı olmadığı sürece omuzda taşınabilir. Sağ ve sol cepler kolay ulaşılabilen cepler olup; suluk, kahve, biberon vb sıvı madde koymak için uygundur. İç orta kısım cırt cırtlı olup çıkartılabilmektedir. Baston bebek arabaları ile kolayca katlanabilir.
Ayarlanabilir Kayış
Astar: %100 Polyester
%100 orijinaldir
Ürünler 1 yıl garantilidir.
Güvenlik bandı açılan ürünlerin iadesi kabul edilmemektedir.
Ürün fotoğraflarında kullanılan aksesuarlar  ürüne dahil değildir.
Tüm Marie Claire koleksiyonu Paris'te tasarlanmıştır.",Kadın
Giyim,Sweatshirt,Baskılı sweatshirt,https://www.flo.com.tr/mavi-erkek-cocuk-kapsonlu-kislik-sweat-200047857,200047857,https://floimages.mncdn.com/media/catalog/product/20-11/12/0019716_mavi-erkek-cocuk-kapsonlu-kislik-sweat.jpeg?0.001005234338794958,E.R.D Kids,89.9,Mavi Erkek Çocuk Kapşonlu Kışlık Sweat,"​​​​​​​​​​​​​​​​​​​​​​​​​​​Ürün Açıklaması:
.Kapşonlu
.Cepli
.Fermuar Detaylı
.İç Kısım Polar
.Çocuk Kışlık Çeket
.Türkiye'de Üretilmiştir
Paket İçeriği:
.Ceket
Ürün İçeriği:Ana Kumaş: %100 Pamuk
Renk: MaviÜrün Tipi: Üst Grup
Ürün Kodu: 019-012-015",Erkek Çocuk
Çanta,El çantası,Yeşil kadın el çantası raina mc212104175,https://www.flo.com.tr/yesil-kadin-el-cantasi-raina-mc212104175-200062408,200062408,https://floimages.mncdn.com/media/catalog/product/20-12/29/new-project-2020-12-29t120901485.jpg,Marie Claire,507,Yeşil Kadın El Çantası Raina MC212104175,"Tasarım 
Raina kadın el çantası; özgür, özgüvenli ve zarif hatlara sahip olabilme özelliğiyle ön plana çıkıyor. Raina el çantamız, klasiklerinizden biri olmaya aday! Pratik iç hacmiyle ise, kişisel ihtiyaçlarınızı rahatlıkla taşıma olanağı sağlar.
Detaylar 
Marie Claire Business Koleksiyonu
El Çantası
Suni Deri
Marie Claire imza logo
Genişlik: 21 cm Yükseklik: 20 cm Derinlik: 12 cm
Ayarlanabilir Kayış
Astar: %100 Polyester
%100 orijinaldir
Ürünler 1 yıl garantilidir.
Güvenlik bandı açılan ürünlerin iadesi kabul edilmemektedir.
Tüm Marie Claire koleksiyonu Paris'te tasarlanmıştır.",Kadın
Çanta,Sırt çantası,Kadın  new vibe large kadın sırt çantası hwsd7750330,https://www.flo.com.tr/kadin-guess-new-vibe-large-kadin-sirt-cantasi-hwsd7750330-200045614,200045614,https://floimages.mncdn.com/media/catalog/product/20-11/05/new-project-89.jpg,Guess,901,Kadın  New Vibe Large Kadın Sırt Çantası HWSD7750330,,Kadın
Çanta,Omuz çantası,Kadın çanta,https://www.flo.com.tr/kadin-canta-200051554,200051554,https://floimages.mncdn.com/media/catalog/product/20-11/19/ogg-oy2054-40391-1178.jpg?0.7957597121059623,Hayati Arman,119.6,Kadın Çanta,Kadın Çanta,Kadın
Çanta,Sırt çantası,Kadın  new vibe large kadın sırt çantası hwpy7750330,https://www.flo.com.tr/kadin-guess-new-vibe-large-kadin-sirt-cantasi-hwpy7750330-200045613,200045613,https://floimages.mncdn.com/media/catalog/product/20-11/05/guessnewvibelargekadinsirtcantasihwpy7750330_16010218950083_xml3.jpg?0.7763440549347298,Guess,1399,Kadın  New Vibe Large Kadın Sırt Çantası HWPY7750330,,Kadın
Çanta,Omuz çantası,Bordo kadın  bebek bakım çantası janet mc212109078,https://www.flo.com.tr/bordo-kadin-bebek-bakim-cantasi-janet-mc212109078-200062406,200062406,https://floimages.mncdn.com/media/catalog/product/20-12/29/new-project-2020-12-29t121626394-1609233400.jpg,Marie Claire,367,Bordo Kadın  Bebek Bakım Çantası Janet MC212109078,"Tasarım 
Nursery koleksiyonumuzun fonksiyonel parçası Janet bebek bakım çantamız, rahat ve fonksiyonel  kullanımı ile annelerin en büyük yardımcılarından biri olacak. Çok fonksiyonlu düzenleyici çanta Janet ile bebeğinizin biberon, bez, mama, oyuncak ve küçük yedek kıyafetlerinin yanısıra cep telefonu, anahtar gibi kişisel eşyalarınızı da rahatlıkla yanınızda taşıyabilirsiniz. Keyifli bir gezide yanınıza almak isteyebileceğiniz her şeyi rahatlıkla koyabileceğiniz bu özel tasarım bakım çantasını biberondan bebek bezine kadar tüm ihtiyaçlarınızı taşımak için kullanabilirsiniz.
Detaylar 
Marie Claire Nursery Koleksiyonu
Bebek Bakım/Düzenleyici Çantası
PVC, Bizfenol A, Ftalat ve kurşun gibi sağlık açısından zararlı hiçbir kimyasal madde içermez.
İthal Suya Dayanıklı Kumaş
Uzunluk: 38 cm Genişlik: 24 cm Derinlik: 15 cm
Temizlik Önerisi: Elde sabun veya sabun tozu ile yıkanabilir. Kuru temizleme yapılabilir. Ütü yapılmaz, çamaşır makinesinde yıkanmamalıdır.
Kullanım Önerisi: Bebek arabalarının hem tutma koluna hem de ön barına takılabilir. Omuzdan ayarlı askı kayışı ile bebek arabasına takılı olmadığı sürece omuzda taşınabilir. Sağ ve sol cepler kolay ulaşılabilen cepler olup; suluk, kahve, biberon vb sıvı madde koymak için uygundur. İç orta kısım cırt cırtlı olup çıkartılabilmektedir. Baston bebek arabaları ile kolayca katlanabilir.
Ayarlanabilir Kayış
Astar: %100 Polyester
%100 orijinaldir
Ürünler 1 yıl garantilidir.
Güvenlik bandı açılan ürünlerin iadesi kabul edilmemektedir.
Ürün fotoğraflarında kullanılan aksesuarlar  ürüne dahil değildir.
Tüm Marie Claire koleksiyonu Paris'te tasarlanmıştır.",Kadın
Giyim,Sweatshirt,Baskılı sweatshirt,https://www.flo.com.tr/gri-kislik-erkek-cocuk-sweatshirt-200047855,200047855,https://floimages.mncdn.com/media/catalog/product/20-11/12/new-project-2020-11-12t114001967.jpg,E.R.D Kids,104.9,Gri Kışlık Erkek Çocuk Sweatshirt,"Ürün Açıklaması:
.Kapşonlu
.Ön ve Arka Kısmında Aplike Detayı 
.Kışlık Kalın Kumaş
.Bel ve Kol Kısmı Ribanalı Sweatshirt  
Paket İçeriği:
.Sweatshirt  
Ürün İçeriği: Ana Kumaş: %100 Pamuk
Renk: Gri
Ürün Tipi: Üst Grup",Unisex Çocuk
Ayakkabı,Spor ayakkabı,Yürüyüş ayakkabısı,https://www.flo.com.tr/jump-25673-gunluk-comfort-erkek-spor-ayakkabi-lacivert-200053177,200053177,https://floimages.mncdn.com/media/catalog/product/20-12/01/ja125673121_jb8-1.JPG?0.1892542814107545,Jump,237.19,25673 Günlük Comfort Erkek Spor Ayakkabı LACİVERT,"Marka: JumpMevsim: MevsimDış Materyal: Microfiberİç Materyal: TekstilTaban Materyali: PoliüretanTopuk Yüksekliği: 2,5 CmTaban Yüksekligi: 1,5 CmAgırlık: 330 GrKalıp: Standart Ayak Ölçülerine Göre Tam Kalıp",Erkek
Çanta,Okul çantası,Erkek çocuk spider-man  due torn ilkokul çantası 5262,https://www.flo.com.tr/erkek-cocuk-spider-man-spiderman-due-torn-ilkokul-cantasi-5262-200024141,200024141,https://floimages.mncdn.com/media/catalog/product/20-09/01/spider-man-spiderman-due-torn-ilkokul-cantasi-5262_15959639806666_xml3.jpg?0.28772830622824075,Spiderman,151.86,Erkek Çocuk Spider-Man  Due Torn İlkokul Çantası 5262,,Erkek Çocuk
Çanta,Bel çantası,Fermuarlı toka kilitli bel çantası,https://www.flo.com.tr/bagmori-fermuarli-toka-kilitli-bel-cantasi-200028142,200028142,https://floimages.mncdn.com/media/catalog/product/20-09/14/87001900024058-1.jpg,Bagmori,54.9,Fermuarlı Toka Kilitli Bel Çantası,,Kadın
Ayakkabı,Sneaker,Hi sneaker,https://www.flo.com.tr/kadin-yuksek-topuklu-spor-ayakkabi-sneaker-200034867,200034867,https://floimages.mncdn.com/media/catalog/product/20-10/02/kadin-spor-ayakkabi-sneaker-69330-6931.jpg?0.46348107459336463,Hayati Arman,319.6,Kadın Yüksek Topuklu Spor Ayakkabı & Sneaker,,Kadın
Çanta,Okul çantası,Erkek çocuk spider-man  hawk eyes ilkokul çantası 5251,https://www.flo.com.tr/erkek-cocuk-spider-man-spiderman-hawk-eyes-ilkokul-cantasi-5251-20002414,20002414,https://floimages.mncdn.com/media/catalog/product/20-08/31/spider-man-spiderman-hawk-eyes-ilkokul-cantasi-5251_15959633115589_xml3.jpg?0.023580632708785743,Spiderman,101.24,Erkek Çocuk Spider-Man  Hawk Eyes İlkokul Çantası 5251,,Erkek Çocuk
