category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/forester-ec-1067-siyah-erkek-ayakkabi-100569502,100569502,https://floimages.mncdn.com/media/catalog/product/20-07/27/100569502_1.jpg,Forester,119.99,EC-1067 Siyah Erkek Ayakkabı,Dış Materyal: Suni Deri,Erkek
Ayakkabı,Spor ayakkabı,Yürüyüş ayakkabısı,https://www.flo.com.tr/lumberjack-agatha-wmn-fw-siyah-kadin-comfort-ayakkabi-100557641,100557641,https://floimages.mncdn.com/media/catalog/product/20-12/28/100557641_1-1609143320.JPG,Lumberjack,137.49,AGATHA WMN FW Siyah Kadın Comfort Ayakkabı,,Kadın
Ayakkabı,Spor ayakkabı,Cw20020 siyah kadın spor ayakkabı,https://www.flo.com.tr/art-bella-cw20020-siyah-kadin-spor-ayakkabi-100571712,100571712,https://floimages.mncdn.com/media/catalog/product/20-10/26/100571712_1.JPG,Art Bella,124.99,CW20020 Siyah Kadın Spor Ayakkabı,İç Materyal: Tekstil,Kadın
Ayakkabı,Ev ayakkabısı,Ev terliği,https://www.flo.com.tr/muggo-eva03-kadin-capraz-terlik-200056315,200056315,https://floimages.mncdn.com/media/catalog/product/20-12/11/muggo-eva03-pelus-kadin-capraz-terlik-26112.jpg?0.32422579257373585,Muggo,69.99,EVA03 Kadın Çapraz Terlik,Marka : Muggo,Kadın
Ayakkabı,Günlük ayakkabı,Oxford ayakkabı,https://www.flo.com.tr/butigo-20k-044-siyah-kadin-oxford-ayakkabi-100572844,100572844,https://floimages.mncdn.com/media/catalog/product/20-08/19/100572844_1.JPG,Butigo,116.65,20K-044 Siyah Kadın Oxford Ayakkabı,İç Materyal: Suni Deri (Rugan),Kadın
Ayakkabı,Günlük ayakkabı,Loafer,https://www.flo.com.tr/inci-zerra-siyah-kadin-loafer-ayakkabi-101026043,101026043,https://floimages.mncdn.com/media/catalog/product/20-12/10/101026043_1.jpg,İnci,136.25,ZERRA Siyah Kadın Loafer Ayakkabı,Dış Materyal: Suni Deri,Kadın
Giyim,Sweatshirt,Carey slogan sweat siyah kadın sweatshirt,https://www.flo.com.tr/kinetix-carey-slogan-sweat-siyah-kadin-sweatshirt-100578829,100578829,https://floimages.mncdn.com/media/catalog/product/20-11/17/100578829_1.JPG,Kinetix,89.99,CAREY SLOGAN SWEAT Siyah Kadın Sweatshirt,Malzeme: %75 Pamuk %25 Polyester,Kadın
Ayakkabı,Bot,Klasik bot,https://www.flo.com.tr/hakiki-deri-erkek-klasik-bot-819sma573-200049054,200049054,https://floimages.mncdn.com/media/catalog/product/20-11/13/new-project-5.jpg,Fast Step,469.11,Hakiki Deri Erkek Klasik Bot 819SMA573,Taban : KAUCUK TABAN; Yüzeyi: DERİ; İçi: SUNİ KÜRK;,Erkek
Ayakkabı,Ev ayakkabısı,Panduf,https://www.flo.com.tr/polaris-600155z-krem-kadin-ev-terligi-100578694,100578694,https://floimages.mncdn.com/media/catalog/product/20-11/06/100578694_1.JPG,Polaris,49.99,600155.Z Krem Kadın Ev Terliği,Dış Materyal: Tekstil,Kadın
Ayakkabı,Spor ayakkabı,Koşu ayakkabısı,https://www.flo.com.tr/torex-bradley-siyah-erkek-kosu-ayakkabisi-100576796,100576796,https://floimages.mncdn.com/media/catalog/product/20-11/03/100576796_1.JPG,Torex,74.99,BRADLEY Siyah Erkek Koşu Ayakkabısı,İç Materyal: Tekstil,Erkek
